GOID,Title,Date,Publisher,sent_of_interest,Sourcetype,Year,claude_category,group
1893391296,"Emboldened by Trump but Divided by Generations, Democrats Look to 2020",4/30/2017,New York Times Company,"The list of candidates may ultimately be the largest since 1976, when Democrats lined up after Watergate for a nomination seen as offering a short path to the White House. In a largely leaderless party, two distinct groups are emerging, defined mostly by age and national stature. On one side are three potential candidates approaching celebrity status who would all be over 70 years old on Election Day: Mr. Biden, and Senators Elizabeth Warren of Massachusetts and Bernie Sanders of Vermont. All three are fiery speakers inclined toward economic populism, and they have urged the Democratic Party to shift in that direction since its defeat in November. Mr. Sanders, the runner-up in the 2016 primaries, may loom largest over the next Democratic race. He is already planning his first return trip to early-voting Iowa in July, and plans to be the keynote speaker at the convention of a social justice organization that works closely with his political group, Our Revolution. Ms. Warren, the only one of the three who has not run for president before, has mapped out an intensive speaking schedule.",Web Resources,2017,"person, group, ideology","['Democrats', 'Our Revolution']"
3082054739,Democrats refocus political messaging,7/18/2024,Gannett Media Corp,"""They pretended that they are a pro-worker, pro-union party. But ... America saw right through their act,"" Quentin Fulks, a Biden-Harris deputy campaign manager, said at the top of the news conference. Their remarks come as some parts of the GOP have ventured into a new brand of economic populism. On Monday, Teamsters President Sean O'Brien had railed against big business in a prime-time address at the convention and called out politicians who oppose labor unions regardless of their party. Vance is a strident critic of the party's internationalist wing who has voiced his support for antitrust legislation, and, like Biden, visited a United Auto Workers picket line. It's unclear how much sway Vance would hold in a second Trump term.",Newspapers,2024,"person, policy, group",['not Republicans']
1491052058,"AT LAST, CONSERVATIVE REFORM BUT WILL THE GOP EMBRACE THIS NEW GROUP OF THINKERS?",1/23/2014,Pittsburgh Post - Gazette,"Because we have only two parties, because those parties are ideologically disciplined, and because everyone is obsessed with the other side's unrighteousness, there's a sense that if you aren't fully on board with an existing partisan agenda, you don't have any business getting mixed up in the debate. There is an exception for rich people who wish Michael Bloomberg could be president: They get to have gushing articles written about their boring, implausible third-party fantasies every four years. Everyone else is out of luck. If you're a consistent libertarian, Naderite left-winger or social conservative who's also an economic populist, it isn't enough to make the case for your ideas; you must perpetually explain why, in the absence of a Libertarian Party or a Socialist Party or a Mike Huckabee presidential run, anyone should even care that you exist. And for the past few years, this same suspicion has attached itself to what had heretofore been a more mainstream group: conservative policy thinkers. The conservative policy larder was genuinely bare by the end of the Bush presidency. But that changed, reasonably swiftly, across President Barack Obama's first term.",Newspapers,2014,"group, ideology",[]
992855629,"NFL boss, Dayton to meet",5/17/2011,MinnPost,"Jeff Poor of the Daily Caller website writes: ""Limbaugh dismissed Bachmann's conservative critics on his Monday show and explained the source of such criticisms directed at the Minnesota Republican congresswoman. 'There is a little game being played by the establishment-Republican commentariat, the what I call 'the inside-the-beltway conservative intelligentsia, the Republican intellectual elite,' Limbaugh said. 'And it is aimed at muddling conservatism and discrediting -- taking down, if you will, conservative Tea Party candidates in the Republican presidential primary process. And the way to do it, by the way, is a page out of the Democrat-left's playbook.' Limbaugh theorized that the Republican establishment is motivated by the belief that a principled conservative can't win elections."" Michael Gerson of the Washington Post looks at the Huckabee decision and sees opportunities for Tim Pawlenty: ""Nowadays there is limited Republican demand for economic populism. Among the current crop of GOP candidates, past activism on issues such as health reform is a more damaging scandal than past adultery. But beyond the primaries, a Republican nominee will require a more hopeful message than just budget cuts. A failing education system and a skills deficit have left America with lower socioeconomic mobility than many European countries.",Newspapers,2011,"person, group, ideology",['Tea Party']
2083790611,Is California’s Democratic Party swinging too far left?,7/20/2018,Los Angeles Newspaper Group,"“They’ve been listening to party leadership, not the grassroots campaign.”
The California Democratic Party “is becoming more issue-based, instead of just who we know,” Rizvi added. Aszterbaum rejects the idea that Democrats will scare off voters by going too far left. Sanders’ success, he said, shows how an agenda catering to working-class Americans can attract people who normally aren’t interested in politics. “I feel confident we’ll only have positive results if Democrats become economic populists rather than embracing lukewarm liberalism,” he said. ‘Pie in the sky’
Eric C. Anderson, a former assistant political science professor at the United States Air Force Academy who worked as a pollster for Midwest political campaigns, has a different take. “The decision to cast all lots with Hillary in 2016 suggested a party tending toward caution and conservative/protective measures,” he said.",Newspapers,2018,"group, ideology",['Democrats']
2776276224,Nikki Haley's Presidential Bid Is an Unappealing Mix of MAGA and RINO,2/14/2023,Reason Foundation,"How to explain the lack of enthusiasm for Haley's bid? Perhaps the answer is that she's just come along a decade too late. ""Haley would be the frontrunner in a Republican party that no longer exists,"" writes Sarah Longwell, publisher of The Bulwark and a longtime GOP political consultant. ""While many Republican voters may be moving off Trump the man, the forces that he unleashed within the party—economic populism, isolationist foreign policy, election denialism, and above all, an unapologetic and vulgar focus on fighting culture war issues—remain incredibly popular with GOP voters,"" writes Longwell. That's one possible explanation. But the Never Trumpers and the neocons who imagine that Haley would be a GOP primary favorite in the days before Trump are probably deluding themselves at least a little. Trump's rise, after all, was powered by a rejection of that very same Republican establishment by the party's own voters.",Web Resources,2023,"ideology,group",['Republicans']
1221790845,The Obama Coalition in the 2012 Election and Beyond,12/4/2012,Targeted News Service,"Moreover, this transition toward a new progressive coalition was possible because of the ideological shift of the American electorate, one in which voters are moving away from the Reagan-Bush era of trickled-down economics and social conservatism and toward the more pragmatic approach of the Clinton-Obama vision that includes strong governmental support for the middle class, public investments in education, infrastructure, a fairer tax system that requires the wealthy to pay their fair share, and more inclusive social policies. Despite all that, politics is never pre-determined, and demographics alone will not deliver more progressive gains and achievements. The fragmented American constitutional system--coupled with the ideological unity of congressional Republicans--gives conservatives multiple veto points over progressive legislation as they control many state houses and governor's mansions, increasing their ability to block federal action on matters such as health care and encouraging further attacks on public employees and benefits for the poor, and punitive social policies aimed at communities of color and gays and lesbians. Teixeira and Halpin give the following suggestions based on what they know about the electorate and the ideological orientation of the country: A coherent way must be found to harness the rising electorate of communities of color, young people, women, and professionals, along with economically populist white working class voters, to give strong and consistent support to a progressive policy vision to benefit all Americans. It must be made clear to all Americans that in the progressive coalition, all voices are valued, all opinions are respected, and all ideas are taken seriously. Unlike the conservative coalition, progressives should seek to invite people in rather than push them out. Progressives must find ways to become a more permanent social movement that organizes and engages a diverse group of Americans to advocate for government reforms and progressive and social and economic policies.",Newspapers,2012,"group, ideology","['progressives', 'white working class']"
1974587117,After Trump Will Be Another Trump - and This One Could Be More Dangerous,11/13/2017,Vox Media,"Sanders was also untainted by the Robert Rubin-Lawrence Summers-industrial complex that managed the economy in the Bill Clinton and Obama administrations and was complicit in the bubble that burst in the Great Recession. Very few leading Democrats are free of those ties. (Sanders, let’s recall, is not a Democrat.) Those who are, like Elizabeth Warren, should remember as they go forward that a half-century of history tells us that they are not going to win over the third of America that is Trumpist no matter what arguments they make. However common the ground of Democrats and Trumpists when it comes to economic populism, they will still be separated by the Trumpists’ adamant nativism, nationalism, and racism. The liberal elites who continue to argue that Democrats can win by meeting Trump voters halfway don’t seem to realize that those intransigent voters have long been hardwired to despise them. William Rusher, the publisher of National Review who tracked Wallace with admiration in the 1970s, presciently envisioned a GOP that allied workers and the party’s corporate donors against what he called “a new class” of “essentially nonproductive” Americans like academics, the news media, and government workers. That’s the exact Trump-Fox News-Breitbart culture war we have today.",Magazines,2017,"person, ideology, group",['Trumpists']
1684375938,Martin O'Malley broadens Democrats' field for 2016 White House race,5/30/2015,"The Christian Science Publishing Society (d/b/a ""The Christian Science Monitor""), trusteeship under the laws of the Commonwealth of Massachusetts","""There's a lot of hostility out there towards Washington right now,"" Democratic strategist Brad Bannon told The Hill newspaper. ""He could run as the anti-Washington candidate, as someone who hasn't been tainted by Washington politics, while framing Hillary and Bernie as products of D.C. culture."" Many toward the left end of the Democratic Party spectrum are happy to see O'Malley join the presidential fray. ""Martin O'Malley's entrance into the race will be one more factor that incentivizes a race to the top on economic populism issues,"" the Progressive Change Campaign Committee, which claims nearly one million members, said in a statement. ""He has already taken strong stands in favor of debt-free college, expanding Social Security benefits, and Wall Street reform - and so far is the only candidate to be outspoken about accountability for Wall Street bankers who committed crimes and crashed our economy. The more Democrats compete to be the biggest hero on popular issues like these, the better it will be for Democrats and for America."" After his announcement speech Saturday, O'Malley headed for Iowa. ""Hillary is still the overwhelming favorite and almost certain nominee,"" Steve McMahon, another Democratic strategist, told The Hill.",Newspapers,2015,"person, group, ideology",['Progressive Change Campaign Committee']
3126409979,None of the conventional explanations for Trump’s victory stand up to scrutiny,11/9/2024,Guardian News & Media Limited,"Without civil society and without strong unions, people believe the only path to success is getting one over on someone else. And who is better at that than Trump?While the core of the resurgent-left generation of Sanders was downwardly mobile college-educated professionals, selling their labor for wages without the prospect of buying a house or retiring on a pension, the second wave of newly aging-in Trump voters entered adulthood without even those prospects, hoping only to grind out a living through scams. But this is fundamentally an anti-social and anti-humanist mode of economic activity that contributes nothing to society and offers nothing but alienation to its victims. The result is people willing to vote for someone they know will cause immense harm to others, hoping it will help them personally.While the new right has made great hay of returning to a communitarian model of politics, economically populist, socially conservative, and focused on family and society, the truth is that the Trumpist movement is the opposite. It is hostile to the very concept of society and community. To combat this, we need an unabashedly pro-society left.The way to win back power for a solidaristic and humanist politics is to rebuild working-class democratic institutions. In 2020, Sanders asked the question: “Are you willing to fight for someone you don’t know?” This is the question we must ask over and over again and the work we must do is making sure the answer becomes yes.It will be hard: the right knows that their kryptonite is organization and community, which is why they plan to launch relentless attacks on leftwing organizations and unions.",Web Resources,2024,"person, ideology, group","['Sanders supporters', 'working class']"
1566973409,"THE NATION; Obama gives his economic policy a nod; President uses speech to tout steady gains, overshadowed by foreign crises of late.",10/3/2014,Los Angeles Times Communications LLC,"""Many have labeled this midterm election a referendum on the policies of President Obama,"" Republican National Committee Chairman Reince Priebus said in his own economic speech Thursday. ""We oppose them because we know there's a better way."" He called for free-market solutions to get the economy on track. Some in the president's political base have sought even more discussion of the economy, not less, which would benefit Democrats up for reelection, said Adam Green, co-founder of the Progressive Change Campaign Committee. ""Democrats who want to win will sound the trumpet of economic populism as loudly as they can in the final months of this election, despite the failure of national Democrats to do so,"" Green said. Obama stood firmly behind the message he has sold for years. ""I'm going to keep making the argument for these policies because they are right for America,"" he said. ""They are supported by the facts.",Newspapers,2014,"person, policy, group, ideology",['Progressive Change Campaign Committee']
2181791012,Trump raises a new menace — socialism — and Democrats can’t agree how to respond,2/15/2019,Los Angeles Times Communications LLC,"Support for universal healthcare, higher hourly wages, increased taxes on billionaires and greater government oversight of the economy have all become standard orthodoxy among the party’s leading White House contenders. But the consensus quickly breaks down when the question is how best to achieve those goals. Beyond the slogan, 'Medicare for all' vexes Democratic presidential candidates »
Republicans would like to make the democratic socialists Bernie Sanders and Alexandria Ocasio-Cortez avatars of the Democratic Party. But not every Democrat echoes the Vermont senator, whose 2016 economic populist campaign helped push the party left, or embraces the environmentalist “Green New Deal” unveiled to great fanfare by the freshman New York representative. “I know that the easy thing to do is say, ‘Yes, yes, yes,’” Sen. Sherrod Brown of Ohio, who is weighing a White House bid, said of the expansive and costly blueprint to fight global warming. But, he said, “I don’t need to cosponsor every bill that others think they need to cosponsor to show my progressive politics.”
Mindful of the divide within their party, Democratic presidential hopefuls have tread a careful path.",Web Resources,2019,"person, policy, group, ideology",['Democrats']
3081352860,"Chastened by Trump shooting, Democrats recalibrate messaging with economic counterpunch",7/16/2024,"USA Today, a division of Gannett Satellite Information Network, Inc.","Democrats battle to recapture working-class voters On Tuesday morning, Democrats focused on countering Republicans’ promise to deliver for America’s working class, a theme of the first day of the convention. ""They pretended that they are a pro-worker, pro-union party. But … America saw right through their act,” Quentin Fulks, a Biden-Harris deputy campaign manager, said at the top of the press conference. Their remarks come as some parts of the GOP have ventured into a new brand of economic populism. On Monday, Teamsters President Sean O’Brien had railed against big business in a primetime address at the convention and called out politicians who oppose labor unions regardless of their party. Vance is a strident critic of the party’s internationalist wing who has voiced his support for antitrust legislation, and, like Biden, visited a United Auto Workers picket line. It’s unclear how much sway Vance would hold in a second Trump term.",Newspapers,2024,"person, group, ideology",['Teamsters']
2193926197,Clinton may be a modern Van Buren,10/5/2016,Gannett Media Corp,"Van Buren is responsible for parties' existence in America, more than anyone else. Jackson won the 1828 and 1832 presidential elections despite the obscurity of his political views. His chief appeal in 1828 was that he had been a successful Indian fighter — and thus given voters extensive Indian lands — and that he had won the Battle of New Orleans. In 1832, he added the economic populism of his Bank Bill Veto Message. Though the Constitution did not yet require it, Jackson opted to retire at his second term's conclusion. Fellow Democrats had known for years that he wanted Van Buren to succeed him. Van Buren had none of Jackson's appeal.",Newspapers,2016,"person, group",['Democrats']
1773976034,Rubio misfires with 'anti-Israel' attack on Trump,3/14/2016,The Jerusalem Post Ltd.,"It was a strange sight to behold at last Thursday's Republican presidential debate - a lower-volume rumble now reduced, mercifully, to four participants. As expected, each candidate played the same role they had in past debates: Donald Trump, the economic populist and extreme anti-immigration hawk; Marco Rubio, the sweaty policy wonk; Ted Cruz, the holier-than-thou movement conservative; and John Kasich, a candidate with relevant job experience. One issue, however, was a stark exception to the rule. When it came to discussing the US-Israel relationship, which initially came in the form of a question about Trump's recent statement that he would remain ""neutral"" in Israeli-Palestinian talks, it was Rubio who demonstrated an astonishing lack of depth by saying Trump was promoting an ""anti-Israel position."" This exchange was nearly identical to the one that took place in the Republican debate before Super Tuesday, underscoring the Groundhog Day nature of the primary season. Like most alliances, the US-Israel relationship contains various parts and roles.",Newspapers,2016,"person, group",['Trump']
1807221558,SANDERS: REVOLUTION WILL BE LOCAL,7/27/2016,"Madison Newspapers, Inc.","stay focused on our issues and force every level of government to represent working people,"" Sanders added.  Meanwhile Tuesday, Democratic Senate campaign officials said they're talking with Sanders about how he can help their efforts to retake the Senate majority this fall.  Sanders has already sent out a fundraising plea on behalf of Wisconsin Democrat Russ Feingold of Middleton.  Christie Roberts, political director of the Democratic Senatorial Campaign Committee, says Sanders' message of ""economic populism"" will resonate in Wisconsin - one of Democrats' top pickup opportunities - against incumbent Republican Sen. Ron Johnson of Oshkosh.  Democratic strategists say Sanders could be helpful around the country talking about middle-class economic issues. The DSCC is talking with Sanders ""to see how he can help and where he can be helpful,"" said spokeswoman Sadie Weiner.",Newspapers,2016,"person, group, ideology",['Democrats']
3082429080,The political party in the plastic bubble,7/19/2024,WP Company LLC d/b/a The Washington Post,"The party smoothed all the sharp edges off its platform, making it even more difficult to tell what Republicans stand for except fealty to Trump. Wednesday's speech by vice-presidential candidate Sen. J.D. Vance (Ohio) was so heavy on Rust Belt economic populism that at times he seemed to be channeling the Senate's fiercest progressive, Bernie Sanders (I-Vt.). Beneath it all, however, is the same old GOP that remains wedded to policies most Americans reject. One glaring example is abortion. Six out of 10 Americans believe overturning Roe v.",Newspapers,2024,"person, group, ideology",['not Republicans']
2548087753,"Why America’s Politics Are Stubbornly Fixed, Despite Momentous Changes",7/4/2021,New York Times Company,"Yet the social fissures that have made Mr. Trump such a durable figure have also cemented Mr. Biden as the head of a majority coalition with broad dominance of the country’s most populous areas. The Democrats do not have an overwhelming electoral majority — and certainly not a majority that can count on overcoming congressional gerrymandering, the red-state bias of the Senate and the traditional advantage for the opposition party in midterm elections — but they have a majority all the same. And if Mr. Biden’s approach up to this point has been good enough to keep roughly 53 percent of the country solidly with him, it might not take a major political breakthrough — let alone a season of them — to reinforce that coalition by winning over just a small slice of doubters or critics. There are strategists in Mr. Biden’s coalition who hope to do considerably more than that, either by maneuvering the Democratic Party more decisively toward the political center or by competing more assertively with Republicans on themes of economic populism (or perhaps through some combination of the two). Mr. Biden’s aides have already briefed congressional Democrats several times on their plans to lean hard into promoting the economic recovery as the governing party’s signature achievement — one they hope to reinforce further with a victory on infrastructure. Faiz Shakir, who managed Senator Bernie Sanders’s 2020 presidential campaign, said Democrats did not need to worry about making deep inroads into Mr. Trump’s base. But if Mr. Biden and his party managed to reclaim a sliver of the working-class community that had recently shifted right, he said, it would make them markedly stronger for 2022 and beyond.",Web Resources,2021,"person, policy, group",['Democrats']
1476905449,Hillary Clinton 2014: Campaigning without campaigning?,1/12/2014,Charleston Newspapers,"She's delivered unpaid speeches on issues at universities, a women's institute, the nation's oldest black women's sorority and an organization that helps people with HIV and AIDS. ""Even after a long decade of war and financial crisis, America is still the indispensable nation,"" she told a crowd at Colgate University in October. Despite the diversity of her topics, some liberal groups are calling on Clinton - as well as other potential Democratic candidates - to speak about other issues. Adam Green, a co-founder of the Progressive Change Campaign Committee, said his members were anxious to hear where Clinton stands on the issue of the day, economic populism, including expanding Social Security benefits and standing up to Wall Street, saying that many of her positions are ""frozen in time, in the years 2007-2008."" MoveOn.org, a liberal advocacy group, launched a petition last year that urges Clinton to ""publicly endorse"" the deal by the United States and five other world powers that calls for Iran to limit its nuclear program in exchange for lighter economic sanctions. ""There's very much a focus on policies and not personalities,"" said Ilya Sheyman, the executive director of MoveOn.org's political action committee. Kathy Sullivan, a Democratic activist who was a Clinton co-chair in New Hampshire in 2008, dismisses any pressure that Clinton faces from the groups. ""There's always a segment that is never satisfied with the favorite candidate, always looking for something else,"" she said.",Newspapers,2014,"person, group, ideology","['Progressive Change Campaign Committee', 'MoveOn.org']"
2785650263,2018 Midterm Election Results Include a Lot for Libertarians to Like: Reason Roundup,11/7/2018,Reason Foundation,"This isn't as crazy as it sounds, though—a vote for Hof counted as a vote toward Republicans more broadly. Since Hof won, county commissioners will be tasked with choosing another local Republican to fill the seat. A major Democratic Socialists of America (DSA) or leftist wave failing to materialize. ""Progressive groups argued that candidates should unapologetically run on economic populist policies like Medicare for All and debt-free college in red and purple districts across the country,"" notes Buzzfeed. ""On Tuesday night — in Midwestern states like Nebraska, Wisconsin, Pennsylvania, and Kansas — that strategy didn't work.""

Bunch of high-profile progressive Dems going down in tough races: Eastman (#NE02), Bryce (#WI01), Balter (#NY24), Watson (#IN09). Not to mention Jealous (#MDGov), Garcia (#AZGov), etc.
Good House election for Dems, not a good election for the high-profile lefty groups. — Dave Weigel (@daveweigel) November 7, 2018

But yesterday did see the landslide election of 29-year-old Alexandria Ocasio-Cortez to a House seat representing New York's 14th Congressional District—she'll be the youngest woman ever to serve in Congress—and the election of DSA-endorsed Michigan candidate Rashida Tlaib.",Web Resources,2018,"person, group, policy","['Democratic Socialists of America', 'progressives']"
2456160945,"Trump and Biden, two different strategies of getting the Catholic vote",10/29/2020,"ContentEngine LLC, a Florida limited liability company","""If I were part of the Trump administration, I would be less concerned about the white gospel vote and I would be much more concerned about who white Catholics support.""Faith-driven Catholic voters are considered penulous because the teachings ofchurch on a wide variety of social and economic issues does not clearly coincide only with Republican or Democratic parties.Trump and Republicans have worked to attract Catholics for whom opposition to abortion is above any other issue, a strategy we are likely to see in all its glory in the coming days when Trump puts pressure on the Senate to approve the appointment of Barrett, a Roman Catholic whose positions on various social issues, including the right to abortion, will be subject to extensive scrutiny.Biden, on the other hand, relies on his personal faith and background as a graduate of a Catholic school to build affinity with voters of Catholic culture. The Democratic candidate bets on voters who, like him, emphasize other aspects of Catholic social education that focus on caring for the poor and vulnerable. These Catholics say that the doctrine of their church forces them to welcome immigrants and refugees and to support trade unions and social welfare programs and not just vote on the issue of abortion.""I struggled politically with the idea of being pro-life versus pro-election,"" said Monica Alaniz-McGinnis, 43, of Mission, Texas, in reference to her Catholic upbringing. But she supports the right to abortion and is extremely concerned about Republicans' efforts to expedite the appointment of another conservative judge to the Supreme Court.Overall, 56 percent of Catholic adults are in favor of the right to abortion, according to a survey conducted last year by the Pew Research Center, despite the church's position on the issue.And while many practicing Catholics oppose abortion, some argue that it is only one issue among many and that the Affordable Care Act, with its expansion of access to health care, can prevent more long-term abortions than a Supreme Court ruling prohibiting the procedure.In addition to surprising notes of economic populism and white complaints, Trump's message to white Catholics focuses heavily on abortion and what his team frames as issues of religious freedom.The president, who has claimed to be a Presbyterian, rarely attends church, and in 2016 had a disagreement with Pope Francis.However, its allies coincide in particular with the most religious voters; specifical, evangelicals who pushed Trump's rise to the White House in 2016. Several of the current and past senior government officials are conservative Catholics and the president's wife, Melania, is also Catholic.For Biden, the speech is more personal. He goes to church once a week and usually carries a rosary with him (""The next Republican who tells me I'm not religious, I'm going to put my rosary bills down his throat,"" he said in 2005, according to The Cincinnati Enquirer) and has a habit of persigning himself when he's considering making a provocative joke.Surveys of Catholic voters, which were mostly conducted before the death of Judge Ruth Bader Ginsburg, show a mixed political picture.The Pew Research Center found that Trump continued to do well among white Catholics even in the summer, when his numbers in national polls were low due to his handling of the coronavirus crisis.However, PRRI surveys found that, in thespring and summer, Trump's preference among this group fell to less than 40 percent. The organization's new data found that this percentage has increased to a 54 percent preference among white Catholics.However, Jones, the CEO of the PRRI, saw the volatility of this group's attitudes as a persistent warning sign to the president.""That's a group that Trump easily won from and yet now says his preference is divided.",Newspapers,2020,"person, group",[]
914504576,Waiting for Captain America,1/6/2012,"The Economist Newspaper NA, Inc.","It was Sarah Posner who coined the term ""Teavangelicals,"" a little neologism for a simple idea. The Tea Party, she argued, was not some new force of libertarians. It was a new framework for the same conservatives who dominated the GOP a month before the Tea Party began. Iowa may not have been the best place to test this, as its Republicans have always been more economically populist than not, and in the last decades they've been reliable social conservatives. But its Tea Partiers did not demand much economic libertarianism from their GOP. Sixty-four percent of caucus-goers called themselves ""Tea Party supporters,"" and 30 percent of them backed Rick Santoruma social conservative who proudly defended his earmarks. Rick Perry, who campaigned desperately on the issues Tea Partiers say they care aboutno earmarks! Term limits! Part time Congress!got 14 percent of this vote.",Magazines,2012,"person, group",['not Tea Party']
2395252231,"Toys R Us is bouncing back from bankruptcy, and the way it's treating workers shows what American labor rights could look like in the next decade",12/23/2019,"Insider, Inc.","But when a new owner restructured, leading to a few smaller, experimental stores being opened this year, remaining workers at the company took on a greater role, not just in producing the company's profits but in deciding how profits are invested. The leadership of Toys R Us saw worker participation in governance as a path to a better business — for workers, executives, shareholders, and consumers. United for Respect, a nonprofit that supports retail workers, helped create a ""mirror board"" of employees which, among other things, has pushed the company to prioritize laid-off employees in rehires, helped design the layout of new stores, and instituted a $15 minimum wage company-wide, including for part-time workers. As Rick Wartzman noted in Fast Company, ""The Toys R Us theme song begins, 'I don't wanna grow up.' It's time, though, that American capitalism did.""
The need for economic democracy
Our economy may look good on paper, using the measures that Wall Street and Washington power brokers like to prop up, but the flames of economic populism will continue to grow because of growing inequality that has not been resolved by the ""recovery,"" but redounded. This also explains, for instance, why an August 2019 Gallup poll found support for unions in the United States at an all-time high. Studies have found that worker pay, for union and nonunion workers, has consistently and drastically fallen as the density and strength of unions has declined. The financial crisis was caused by corporate greed and corruption run amok.",Newspapers,2019,"ideology, policy, group",['unions']
3082054739,Democrats refocus political messaging,7/18/2024,Gannett Media Corp,"""They pretended that they are a pro-worker, pro-union party. But ... America saw right through their act,"" Quentin Fulks, a Biden-Harris deputy campaign manager, said at the top of the news conference. Their remarks come as some parts of the GOP have ventured into a new brand of economic populism. On Monday, Teamsters President Sean O'Brien had railed against big business in a prime-time address at the convention and called out politicians who oppose labor unions regardless of their party. Vance is a strident critic of the party's internationalist wing who has voiced his support for antitrust legislation, and, like Biden, visited a United Auto Workers picket line. It's unclear how much sway Vance would hold in a second Trump term.",Newspapers,2024,"person, policy, group",['not Republicans']
2139382391,"WSJ BLOG/Real Time Economics: Secondary Sources: Confidence, Entrepreneurs, Lobbying, Charting Money",11/22/2011,Dow Jones & Company Inc.,"These cuts may not please anyone, and could be changed before they become effective in 2013, but for now they remain in place. That is, the failure of the supercommittee has had no real budgetary impact in the short term.""--  Entrepreneurs:Edward Glaeser writes that Occupy Wall Street is fighting an uphill battle amid the U.S.'s affinity for entrepreneurs. "" America's love affair with entrepreneurship complicates any attempt to mount an effective European-style war of have-nots against haves. To be successful, the new economic populists must connect their message with the American embrace of those, like Jobs, who become rich by improving our economy and the world. To be wise, the advocates of free markets should worry more about ensuring economic opportunity for all. The Occupiers appear angry that President Barack Obama didn't do more to eliminate the inequities of American life, even though, by the standards of U.S. politics, he did much that should have pleased the left.""--  Lobbying:William Kerr,William Lincoln and Prachi Mishra examine the dynamics of lobbying.",Newspapers,2011,"ideology, group",['Occupy Wall Street']
3059254160,ECONOMIST(THE) Why paying women to have more babies wont work,5/25/2024,News Bites Pty Ltd,"Yet all these attempts are likely to fail, because they are built on a misapprehension. 
Source : Company Website



INDEX
SECTION 1 PRESS RELEASES: 2024
SECTION 2 OTHER NEWS: 2024



SECTION 1 PRESS RELEASES: 2024

May 18: ECONOMIST(THE) Bayer wants legislative help to fight its cancer lawsuits

For all the partisan rancour in American politics, the Trump era has produced some surprising convergences between left and right. Republican isolationists and left-wing Democrats often share a scepticism of American military might. And economic populists on the left and right can agree on resisting reform of entitlements such as Social Security or supporting aggressive antitrust action. This dynamic has spread to the states too. Consider Missouri, where trial lawyers (traditionally big supporters of Democrats) recently worked with a hard-right group to stop a change to tort laws. 
Source : Company Website



May 14: ECONOMIST(THE) The Xi-Putin partnership is not a marriage of convenience

In march last year China's leader, Xi Jinping, paused at the door of the Kremlin.",Newspapers,2024,"group, ideology","['left-wing Democrats', 'Republican isolationists']"
3056464421,ECONOMIST(THE) Volodymyr Zelenskys presidential term expires on May 20th,5/20/2024,News Bites Pty Ltd,"He cannot hold elections now, but he must prepare to hold them eventually. 
Source : Company Website



INDEX
SECTION 1 PRESS RELEASES: 2024
SECTION 2 OTHER NEWS: 2024



SECTION 1 PRESS RELEASES: 2024

May 18: ECONOMIST(THE) Bayer wants legislative help to fight its cancer lawsuits

For all the partisan rancour in American politics, the Trump era has produced some surprising convergences between left and right. Republican isolationists and left-wing Democrats often share a scepticism of American military might. And economic populists on the left and right can agree on resisting reform of entitlements such as Social Security or supporting aggressive antitrust action. This dynamic has spread to the states too. Consider Missouri, where trial lawyers (traditionally big supporters of Democrats) recently worked with a hard-right group to stop a change to tort laws. 
Source : Company Website



May 14: ECONOMIST(THE) The Xi-Putin partnership is not a marriage of convenience

In march last year China's leader, Xi Jinping, paused at the door of the Kremlin.",Newspapers,2024,"group, ideology","['left-wing Democrats', 'Republican isolationists', 'economic populists']"
2330894746,Trump’s quest to shatter GOP economics reached its culmination in 2019,12/27/2019,WP Company LLC d/b/a The Washington Post,"The Trump administration is likely to continue its aggressive trade actions in its fourth year, turning to negotiations with the United Kingdom, Europe and possibly India and Vietnam, said Peter Navarro, assistant to the president for trade and manufacturing policy, in an interview. These economic priorities contrast with the highly partisan politics of impeachment, which is expected to play out with a Senate trial early next year. Democrats maintain Trump sold out his working-class base to the GOP donor class after his election, but the attack may grow less potent as the tax cut in particular loses its immediacy. Celinda Lake, a Democratic pollster at Lake Research Partners, said that Democratic elites such as lawmakers, think-tank leaders and consultants have been alarmed by Trump's economic populism. ""Typically, Republicans offer things like the deficit and the stock market — the upscale economic agenda — but Trump is trying to include the semblance of a working-class economic agenda,"" she said. ""It isn't real when you look underneath the hood, but it sure looks real, absent an alternative.""
Trump's policy shift also illustrates his power over congressional Republicans. Two core party constituencies for decades — free-market traders and deficit hawks — are at risk of being effectively exiled from the GOP, as some Republican lawmakers quietly fume at being sidelined repeatedly over policy matters.",Web Resources,2019,"person, policy, group, ideology",['not Republicans']
2410080216,Sen. Elizabeth Warren Campaigns With Hillary Clinton In Ohio,6/27/2016,NPR,I don't know if I had that enthusiasm as much before seeing her speak today.  ASMA KHALID: Carey voted for Sanders but says now she'll support Clinton in November. Warren is essentially Bernie Sanders' soul sister. They both focus on economic populism and cater to the far left of the Democratic Party. And so she could help unify the party.   NICK MILLER: I was a - definitely a really big Bernie supporter during the primary.  ASMA KHALID: That's Nick Miller.,Transcripts,2016,"person, group",['far left of the Democratic Party']
