GOID,Title,Date,Publisher,sent_of_interest,Sourcetype,Year,claude_category,policy
2011511657,Top economic adviser quits Trump amid dispute over trade,3/7/2018,Postmedia Network Inc.,"""I am grateful to the president for giving me this opportunity and wish him and the administration great success in the future.""
Trump's announcement on Thursday that he would press forward with a 25-per-cent tariff on steel imports and 10 per cent on aluminum left markets reeling and was a public rebuke of Cohn, the director of the National Economic Council, who had furiously lobbied against the penalties. One person with knowledge of the chaotic West Wing decisionmaking process said Cohn and Commerce Secretary Wilbur Ross, who had recommended the tariffs to the president, privately argued over the issue just hours before it was announced. The tariffs appeared to mark the tipping point for Cohn, 57, a registered Democrat who made clear that he saw his job in the administration to be an advocate for business-friendly economic principles. He helped Trump steer a large package of tax cuts into law last year but proved unpersuasive on trade, where Cohn was a stark counterpoint to nationalists and economic populists in the administration led by former chief strategist Stephen Bannon. His departure may cause further turmoil in financial markets, where investors saw him as a steady hand in an unpredictable administration, and leaves uncertainty about Trump's economic agenda. Trump expressed gratitude to Cohn in a written statement: ""He is a rare talent, and I thank him for his dedicated service to the American people.""
CREDIT: Washington;Bloomberg",Newspapers,2018,"person, policy",['trade protectionism']
2126062645,Hoping for a Midterm Split Decision,10/27/2018,New York Times Company,"So a Democratic House would supply a much more effective check on that temptation, along with more vigorous scrutiny of corruption in the White House, about which congressional Republicans have been studiously incurious. And it would offer that check without jeopardizing any potential conservative legislative achievements — because, let’s be frank, the congressional G.O.P. isn’t going to do anything serious with its power if it gets re-elected except confirm judges, and you don’t need the House to elevate Amy Coney Barrett if there’s one more high court vacancy. At the same time, for the genuinely populist sort for conservative (that is, the best kind), having a Democratic House might force Trump himself back toward the economic populism of his campaign, which he mostly abandoned but has suddenly remembered in the last days before the midterms, talking up a phantom middle-class tax cut and proposing an “America First” approach to drug pricing . So giving up the House restrains and redirects Trump at relatively little cost, and perhaps even some policy advantage. Keeping the Senate Republican in this cycle, on the other hand, doesn’t just allow for more conservative judicial nominations. It also provides a hedge against a future where the Democratic Party returns to power flush with ideological zeal, committed to its own forms of norm-busting, and eager for a measure of revenge.",Web Resources,2018,"person, policy, ideology","['tax cuts', 'regulation of drug prices']"
2397677954,Who should dems put forward in 2020?,4/1/2019,"Uloop, Inc.","The key takeaway, other than avoiding the nomination of a candidate who half the country already hates, is that Democrats need a candidate who can win in the Rust Belt. If a candidate won Wisconsin, Michigan and Pennsylvania in addition to the states Clinton won in 2016, then they would win the election. It would stand to reason that Democrats would want to nominate a candidate who appeals to voters in these areas. Trump did so well in the Rust Belt because of his economic populism, so a candidate that could offer effective alternatives to his policies would likely be able to win. The Democrats will have to figure out what sort of platform will appeal to voters in these areas. Should a moderate who can win independents and some Republicans be put forward? Or would a liberal running on a progressive platform be ably to better combat Trump?",Newspapers,2019,"policy, ideology",[]
1551195026,Lamar Alexander in the Crosshairs,8/4/2014,Weekly Standard,"Everything changed on June 10, when House majority leader Eric Cantor lost a stunning primary battle in Virginia against a local college professor named Dave Brat. Brat campaigned arguing that Cantor and the House GOP leadership wanted to pass comprehensive immigration reform similar to the Senate bill before the 2014 midterm elections. It was a message that prompted Laura Ingraham to campaign for Brat, even while several national Tea Party groups ignored the race. Suddenly, the politics of immigration reform looked to be swinging in the direction of the enforcement hawks and economic populists. Just days after Cantor's defeat, one Capitol Hill Republican aide told me Carr was the ""next Dave Brat."" The growing crisis at the southern border, with tens of thousands of unaccompanied minors from Central America streaming into Texas from Mexico, further pushed illegal immigration into the forefront. A July 16 Gallup poll found a plurality of Americans thought the issue of immigration and illegal aliens was the most important problem facing the country, followed closely by dissatisfaction with elected officials. On July 22, Georgia Republican primary voters picked newcomer David Perdue over longtime congressman and Chamber-endorsed Jack Kingston in that state's Senate runoff.",Magazines,2014,"person, policy",['restricting immigration']
2047354736,"Obama: I'm the real populist, not Trump",6/29/2016,POLITICO LLC,"Or it’s just cynicism.”Obama continued, “Where’ve they been, have they been on the front lines?”Obama said that he’s the real populist, pointing to his advocacy for giving all American children “the same opportunities that I had,” as well as for a more progressive tax system and “workers being able to have a collective voice.” “I suppose that makes me a populist,” Obama said. And he namechecked one other Democrat who made an anti-establishment pitch.“There are people like Bernie Sanders,” Obama said, “who I think genuinely deserve the title since he has been in the vineyards fighting.”Earlier in the press conference, Obama said that Trump’s anti-trade policies would make Americans worse off. The billionaire businessman on Tuesday stood in front of a heap of garbage and trashed U.S. trade deals like NAFTA and the Trans-Pacific Partnership as he doubled down on economic populism and protectionism in the wake of the United Kingdom’s vote to leave the European Union.Obama on Wednesday said everyday Americans are right to have concerns over trade, noting that as the global economy has integrated, advanced economies have seen growing trends of inequality, stagnant wages and a high percentage of growth to the top 1 percent instead of workers.“And that is a real problem,” Obama said. “If that continues, the social cohesion and political consensus needed for liberal market economies starts breaking down. The question is what do you do about it?”The prescription, Obama said, isn’t to withdraw from trade deals, and nation’s focusing only on their local markets is the wrong medicine.“First of all because it’s not feasible, because our auto plants, for example, would shut down if we didn't have access to some parts in other parts of the world,” he said. “So we’d lose jobs, and the amount of disruption that would be involved would be enormous.",Web Resources,2016,"person, policy, ideology","['progressive taxation', 'workers collective bargaining rights']"
1645107892,"Yes, conservatives can respond to Democrats' big new economic proposal",1/12/2015,WP Company LLC d/b/a The Washington Post,"To replace that money in federal coffers, Van Hollen would tax trades in the stock market and would get rid of many tax breaks that disproportionately benefit the wealthy. It's a populist plan that would redistribute some $1.2 trillion from the richest Americans to the middle class, and it won't move an inch in the Republican Congress. That said, Republicans recognize they need an answer of some kind to show they understand the financial difficulties of working Americans. ""You talk to any pollster, on the Democratic side or the Republican side, they're in complete agreement on the idea that there has to be an economic populist message,"" Matthew Dowd, a campaign strategist for former president George W. Bush, told The Washington Post. Conservatives have been busy over the past few years brainstorming new policies on the economy. The problem for Republicans is that none of those ideas would be an easy sell for aspiring G.O.P.",Web Resources,2015,"person, policy, ideology","['tax on stock trades', 'eliminating tax breaks for wealthy']"
1625616011,Why economic messaging matters,11/18/2014,Postmedia Network Inc.,"Moving the economy to full employment is a sure-fire way to give workers the bargaining power they've lacked since the late 1990s, but that's plainly impossible, absent a massive government stimulus. Given the widespread mistrust of the federal government another stimulus is hardly likely. The sole exception might be increased spending on infrastructure, and if direct spending is still too steep a hill for Republicans, then a public-private infrastructure bank could be established. 

But the economic populism abroad in the land opens other doors for Democrats.  Recent exit polls showed fully 63 per cent of voters - and 46 per cent of Republicans - agreed that ""the U.S. economic system generally favours the wealthy,"" while just 32 per cent agreed that it ""is fair to most Americans."" The Democrats' mission, then, is to advance policies that make the economy fairer without, for now at least, expanding government. One way to do that would be to reduce taxes on the middle class and the poor.",,2014,"policy, ideology","['infrastructure spending', 'tax cuts']"
1786227178,"Clinton to bend, but not too far, to woo Sanders voters",5/3/2016,Gannett Media Corp,"Polls show only a little more than a third of voters consider her ""honest"" and ""trustworthy."" However, Democrats are betting if Donald Trump is the Republican nominee, he'll drive moderate suburban swing voters, and possibly some Republican women, into Clinton's column. That means the risks that come with alienating the Democratic base may be greater than those of failing to court  centrist voters. ""They may not need to move too far to the center because many of these suburban swing voters are so repelled by Trump,"" said Larry Jacobs, a presidential politics scholar at the University of Minnesota. The Clinton campaign also believes economic populism is now mainstream in both parties. It held back a middle-class tax cut plan during the primary, believing that rolling it out in the general election will energize  both moderates and progressives. While her tax measures thus far have focused on specific tax credits, the campaign is now aiming to deliver a broader middle-class tax relief plan with a specific dollar amount, according to one aide. Clinton telegraphed the approach in a speech a week ago after sweeping four of five Eastern primaries that all but mathematically extinguished Sanders' hopes of clinching the nomination.",Newspapers,2016,"person, policy","['middle-class tax cuts', 'tax credits']"
2319392363,"Raitt says populism in leadership race has changed Tories; Munk Conference; Harris Win In Ontario Similar, Rae Says",11/28/2019,Postmedia Network Inc.,"Both said they'd seen evidence of the movements here, even though they had yet to take flight in any serious way. Raitt pointed to the Conservative leadership race in 2016 and 2017 won by Andrew Scheer. She had been touted as a top contender to replace Stephen Harper, but wound up eighth in the field of 14. Celebrity businessman Kevin O'Leary, who eventually dropped out of the contest, advocated a sort of economic populism, she said, while MP Kellie Leitch promoted a social form of populism. Leitch applauded Donald Trump's election as U.S. president, and suggested a ""Canadian values"" screening test for would-be immigrants. ""Never was I more shocked to hear some of my colleagues come out and espouse theories and policy planks that I never really thought were part of their make-up,"" Raitt said.",Newspapers,2019,"person, policy, group",[]
2126062645,Hoping for a Midterm Split Decision,10/28/2018,New York Times Company,"So a Democratic House would supply a much more effective check on that temptation, along with more vigorous scrutiny of corruption in the White House, about which congressional Republicans have been studiously incurious. And it would offer that check without jeopardizing any potential conservative legislative achievements — because, let’s be frank, the congressional G.O.P. isn’t going to do anything serious with its power if it gets re-elected except confirm judges, and you don’t need the House to elevate Amy Coney Barrett if there’s one more high court vacancy. At the same time, for the genuinely populist sort for conservative (that is, the best kind), having a Democratic House might force Trump himself back toward the economic populism of his campaign, which he mostly abandoned but has suddenly remembered in the last days before the midterms, talking up a phantom middle-class tax cut and proposing an “America First” approach to drug pricing. So giving up the House restrains and redirects Trump at relatively little cost, and perhaps even some policy advantage. Keeping the Senate Republican in this cycle, on the other hand, doesn’t just allow for more conservative judicial nominations. It also provides a hedge against a future where the Democratic Party returns to power flush with ideological zeal, committed to its own forms of norm-busting, and eager for a measure of revenge.",Newspapers,2018,"person, policy, ideology","['tax cuts', 'regulation of drug prices']"
1767617812,Bernie Sanders rallies supporters in Virginia,2/24/2016,Gannett Media Corp,"-- Sen. Bernie Sanders brought his presidential campaign to a Super Tuesday state on Tuesday, telling supporters there's ""a lot of pain"" touching every demographic in the country. ""We are listening,"" he said. The Vermont independent said his economic populist agenda aims to pay workers a higher minimum wage, provide pay equity for women, and reform the criminal justice, immigration and campaign finance systems. ""What our campaign is about is not getting advice from millionaire campaign contributors,"" Sanders told a crowd of about 4,500 gathered at Scope Arena. ""I don't have millionaire campaign donors. We are able, then, to listen to ordinary people."" Virginia is one of 11 states that will hold Democratic primaries or caucuses on March 1.",Newspapers,2016,"person, policy, ideology","['higher minimum wage', 'pay equity for women', 'criminal justice reform', 'immigration reform', 'campaign finance reform']"
2012030444,Tariffs will impact Indiana,3/9/2018,Gannett Media Corp,"marketplace, Indiana will lose businesses and hemorrhage jobs, Paul said
Indiana's manufacturers have a different view. Many of those businesses use steel in their products, or sell their goods to other countries that might retaliate if the tariffs spark a broader trade war. ""Since these manufacturing companies are such a large share of income and jobs in Indiana, it is likely that the Indiana economy would suffer from the tariffs even though we do produce aluminum and steel,"" said Wally Tyner, an agricultural economics professor at Purdue University. That dichotomy helps explains why, in a state Trump won by 19 percentage points on an economic populist message, public officials are so divided over his policy. Indiana's Republicans, who have championed free trade policies for years, have mostly praised Trump's effort to stand up for American steelworkers, while also pressing the president to take a more tailored response. Take Indiana Gov. Eric Holcomb.",Newspapers,2018,"person, policy, ideology",['trade protectionism']
2166304925,Sherrod Brown as Trump-slayer? Here’s his big idea.,1/11/2019,WP Company LLC d/b/a The Washington Post,"Sen. Sherrod Brown will travel to the early presidential primary states in coming weeks, he confirmed to me in an interview. This will stoke speculation about the presidential ambitions of the Ohio Democrat who is widely seen as an ideal messenger for true economic populism as the antidote to President Trump's sham version of the same. At the core of Brown's message is a simple idea: The way to confer dignity on work is to ensure that it pays well. Due to structural economic factors beyond ordinary Americans' control, wages have stagnated for millions, with many trapped in the ranks of the working poor; but government can remedy this through the tax code by sending struggling Americans money. Many progressive economists and Democratic lawmakers are coalescing around a way to do this, through one version or another of expanded tax credits for working people and families, to supplement their income and lift them out of poverty and/or closer to the ranks of the middle-class.",Web Resources,2019,"person, policy, ideology",['tax credits for working families']
1853297445,The high Priest of the Church of Trump,1/1/2017,"Institute for Public Affairs, Inc.","Crony capitalism, which has undermined the ""spiritual and moral foundations of Christianity,"" has prevailed. The result is ""a crisis of our faith, a crisis of the West, a crisis of capitalism.""


Such themes also pervaded Trump's stump speeches. In June 2016, during a campaign stop at a metals recycling plant in Pennsylvania, Trump explained that ""our politicians have aggressively pursued a policy of globalization-moving our jobs, our wealth and our factories to Mexico and overseas."" That process, he said, ""has made the financial elite who donate to politicians very wealthy. But it has left millions of our workers with nothing but poverty and heartache.""


What's novel about all of this, in the recent American context, is the blend of a religiously rooted social vision with a potent economic populism. Trump and Bannon cast Trump in the role of our savior from crony capitalism, come to cleanse the temple of the money changers. 

Testing the faithful


In July 2016, Breitbart reported that it had 192 million pageviews-up from about 12 million per month in 2012. And its influence seems to be growing within the federal government.",Magazines,2017,"person, policy, ideology",['trade protectionism']
2015286042,Hillary Clinton Plans to Hit Donald Trump on Economics,6/8/2016,Dow Jones & Company Inc.,"For her own part, Mrs. Clinton promised in the interview to put forth a middle-class tax-cut plan, which she said would be a ""critical"" part of the case she makes to voters. She wouldn't say whether she supports bipartisan efforts to overhaul the corporate tax code by lowering rates and eliminating some tax breaks, but she promised more details in the weeks ahead. 

The interview came a day after the former first lady, senator and secretary of state made history as the first woman to capture the nomination of a major political party. She plans to travel to Ohio and Pennsylvania next week, two states where some analysts have predicted that Mr. Trump's brand of economic populism will resonate, particularly with white, working-class men. 

Mrs. Clinton said she was also working to unify Democrats. She spoke to rival Bernie Sanders on Tuesday evening and said she would continue making the case to his supporters that there is more that unites than divides them. 

Mr. Sanders, a Vermont senator, during the long primary campaign repeatedly hit Mrs. Clinton for her ties to Wall Street, including donations from employees of big banks and paid speeches.",Newspapers,2016,"person, policy",[]
2573559861,Democrats want to reclaim white working-class males,4/22/2015,Gannett Media Corp,"When the Pew Research Center asked in 2012 whether they expected their children to enjoy a better standard of living, 56 percent of black and Latino respondents said yes, but only 41 percent of whites were optimistic. How do Democrats plan to get out of the hole they're in? Part of the answer is easy: They'll adopt some version of Sen. Elizabeth Warren's economic populism. They'll denounce the excesses of Wall Street and demand a better deal for the working class. That was the very first note Hillary Rodham Clinton sounded last week in Iowa. ""The deck is still stacked in favor of those already at the top,"" she said.",Newspapers,2015,"person, policy, ideology","['Wall Street reform', 'workers rights']"
1693344145,"Huckabee: Put American workers first, liberal judges last",6/27/2015,"Clarity Media Group, Inc.","The conservative pundit turned presidential candidate called for slapping tariffs on imports and using Article III, Section 2 of the Constitution to strip the Supreme Court of its jurisdiction over key social issues, drawing on William Quirk's 1995 book Judicial Dictatorship. If the former two-term Arkansas governor turned television personality has ever proposed either, I haven't heard it. 

But the themes are unmistakable. There has been some speculation that social conservatives will change their political approach and focus more on religious liberty than either economic populism or the culture wars. Not Mike Huckabee. Judging from the standing ovation that followed his speech in Denver, his message still has a constituency. 

Credit: W.",,2015,"person, policy",['trade protectionism']
3082666718,"Trump's Speech, the RNC, and the GOP's Next Chapter; Members of the Journal's Editorial Board share their reactions to the convention.",7/19/2024,Dow Jones & Company Inc.,"The MAGA manifesto discards most of the bold policy reforms included in the 2016 Republican platform. Some examples: Rolling back Dodd-Frank's ""too big to fail"" framework, abolishing diversity lending quotas for federally insured banks, and repealing the Davis-Bacon prevailing-wage mandate for public works, which raises construction costs. The 2016 platform nodded to the need ""to broaden our trade agreements with countries which share our values and commitment to fairness."" It noted that ""today's legal immigrants are making vital contributions in every aspect of national life."" The MAGA manifesto makes no such concessions. Mr. Vance on Wednesday hailed the GOP as a ""big tent,"" but this economic populism risks driving out traditional conservatives who have long been the Republican base. How long can a party remain divided against itself? Ms. Finley is a member of the Journal's Editorial Board. She writes the weekly ""Life Science"" column.",Newspapers,2024,"person, policy, group, ideology",[]
1284160610,A second act for Jerry Brown -- and California (Posted 2013-02-06 00:34:06),1/1/2013,WP Company LLC d/b/a The Washington Post,"""I think we should digest this great leap forward before we contemplate anything further."" The governor is committed, though, to certain big-ticket green-infrastructure projects -- in particular, a water project for the Central Valley and a high-speed rail line from Los Angeles to the Bay Area. In this, he is following in the footsteps of the state's master builder, his father, Edmund ""Pat"" Brown, who as governor raised taxes that he used to turn the state into America's postwar industrial Eden, expanding the University of California system and building freeways and aqueducts. The son took pains during his first go-round as governor to differentiate his politics from his father's. Brown was at the forefront of the first generation of post-New Deal neoliberals -- a cohort that included Gary Hart and Paul Tsongas -- who promoted environmentalism over growth and cultural liberalism over economic populism. With Brown, the tension between the two strands of liberalism at times seemed painfully Oedipal: As his father had embraced all rituals of the political life, so Brown took pleasure in shunning them. Brown is the last of the 1970s neos still governing, and while he has adopted his father's mantle of master builder -- albeit for greener purposes -- his resistance to convention, so apparent in his first tenure as governor, has expanded to include a resistance to novelty as well. Where he finds genuine technological breakthroughs, he wants to proceed ""at mach speed"": He is pushing the University of California to offer more classes online, partly as a way to hold down spiraling costs to students.",Web Resources,2013,"person, policy",[]
2011511657,Top economic adviser quits Trump amid dispute over trade,3/7/2018,Postmedia Network Inc.,"""I am grateful to the president for giving me this opportunity and wish him and the administration great success in the future."" Trump's announcement on Thursday that he would press forward with a 25-per-cent tariff on steel imp.orts and 10 per cent on aluminum left markets reeling and was a public rebuke of Cohn, the director of the National Economic Council, who had furiously lobbied against the penalties. One person with knowledge of the chaotic West Wing decision-making process said Cohn and Commerce Secretary Wilbur Ross, who had recommended the tariffs to the president, privately argued over the issue just hours before it was announced. The tariffs appeared to mark the tipping point for Cohn, 57, a registered Democrat who made clear that he saw his job in the administration to be an advocate for business-friendly economic principles. He helped Trump steer a large package of tax cuts into law last year but proved unpersuasive on trade, where Cohn was a stark counterpoint to nationalists and economic populists in the administration led by former chief strategist Stephen Bannon. His departure may cause further turmoil in financial markets, where investors saw him as a steady hand in an unpredictable administration, and leaves uncertainty about Trump's economic agenda. Trump expressed gratitude to Cohn in a written statement: ""He is a rare talent, and I thank him for his dedicated service to the American people.""
CREDIT: Bloomberg",Newspapers,2018,"person, policy",['trade protectionism']
2548208505,"America Is Undergoing Seismic Changes, but Its Politics Barely Budge",7/4/2021,New York Times Company,"Yet the social fissures that have made Trump such a durable figure have also cemented Biden as the head of a majority coalition with broad dominance of the country’s most populous areas. The Democrats do not have an overwhelming electoral majority — and certainly not a majority that can count on overcoming congressional gerrymandering, the red-state bias of the Senate and the traditional advantage for the opposition party in midterm elections — but they have a majority all the same. And if Biden’s approach up to this point has been good enough to keep roughly 53% of the country solidly with him, it might not take a major political breakthrough — let alone a season of them — to reinforce that coalition by winning over just a small slice of doubters or critics. 
There are strategists in Biden’s coalition who hope to do considerably more than that, either by maneuvering the Democratic Party more decisively toward the political center or by competing more assertively with Republicans on themes of economic populism (or perhaps through some combination of the two). Biden’s aides have already briefed congressional Democrats several times on their plans to lean hard into promoting the economic recovery as the governing party’s signature achievement — one they hope to reinforce further with a victory on infrastructure. 
Faiz Shakir, who managed Sen. Bernie Sanders’ 2020 presidential campaign, said Democrats did not need to worry about making deep inroads into Trump’s base.",Newspapers,2021,"person, policy, group",[]
2275900560,Elizabeth Warren's criminal justice plan would gut 1994 crime bill,8/20/2019,"CNN Newsource Sales, Inc.","Warren also spells out specific breaks with the Trump administration, including a promise to end the Justice Department directive requiring federal prosecutors to seek maximum prison terms. Despite her rise in the polls, Warren has struggled in most surveys to make comparable inroads with African American voters. Her criminal justice proposal, echoing earlier plans, highlights the disproportionate rates that minority communities have suffered under the current system. Warren also seeks to merge the policy proposals with her economic populist message, stating near the top of her post: ""It's not equal justice when a kid with an ounce of pot can get thrown in jail, while a bank executive who launders money for a drug cartel can get a bonus.""
""It is a false choice to suggest a tradeoff between safety and mass incarceration,"" the Massachusetts senator writes. ""By spending our budgets not on imprisonment but on community services that lift people up, we'll decarcerate and make our communities safer.""
The plan includes a series of steps that would shift the balance of power on the streets, at trial and among those in prison seeking a new day in court. Significant parts of the proposal would require legislative action, but Warren also talks about using her Justice Department to influence policing tactics and reduce prison terms. ""Policies like stop-and-frisk and 'broken windows' policing have trampled the constitutional rights of countless Americans -- particularly those from Black and Brown communities -- without any measurable impact on violent crime,"" Warren writes, saying she will end ""stop-and-frisk"" by refusing federal funds to police departments still using it.",Newspapers,2019,"person, policy, ideology",['criminal justice reform']
3119140985,Democrats Finally Jump Into Critical New Jersey Race,10/22/2024,Newstex,"Andy Kim, she led the charge in numerous lawsuits that ultimately took down the “county line” system, an electoral tool to tilt the playing field in elections toward the state machine’s endorsed candidates.Though she built credibility with reformers, she made some powerful enemies along the way. Norcross, a major party bundler, has close friends throughout the national party, including Speaker Emerita Nancy Pelosi. His brother is a sitting congressman, Rep. Don Norcross (D-NJ), who’s been a generous donor to the party’s campaign arms, including raising nearly $100,000 this year for the DCCC.Out on the trail, Altman is leaning into her track record as a reformer to showcase her independent streak and appeal to more moderate swing voters.Anti-corruption goes hand in hand with championing economic populism for Altman. She ties the shady developers that siphoned out public money in Camden to corporate landlords that are jacking up the cost of housing.Though NJ-07 is a comparatively well-off district, the affordability crisis for homes, education, and health care has hit families here just as much. Altman’s economic pitch views these soaring costs as largely a function of corporate monopolies, rhetoric she’s embracing on the trail.“This is one of the most affluent and highly educated districts in the country and yet I hear how hard it is to make ends meet … prices are too high, wages are too low, and I believe it’s due to a lack of competition and corporate greed,” Altman said at the debate. She’s also equally embracing some more moderate-favored policies like repealing the cap on the state and local tax (SALT) deduction, a regressive tax cut but a critical issue in blue-state suburban districts.This economic platform squares with her pitch to get money out of politics.",Web Resources,2024,"person, policy, ideology","['anti-corruption reform', 'housing affordability reform', 'education affordability reform', 'healthcare affordability reform', 'anti-trust']"
2188986138,Elizabeth Warren would break up big tech companies,3/8/2019,"Boston Globe Media Partners, LLC","“It's a logical next step for someone who has made her career taking on corporate monopolies and power,"" said Jesse Ferguson, a Democratic strategist who worked on Hillary Clinton's 2016 presidential campaign. 
But tech was already poised to be something of a flashpoint in the 2020 election, with industry giants facing growing scrutiny in Washington about their size and power in the market, handling of misinformation on their platforms, and the way they use and profit from customers' private data. 
Amy Klobuchar, the Minnesota senator, called for new privacy regulations for tech companies when she announced her run for the Democratic presidential nomination. Senator Bernie Sanders, the economic populist from Vermont who jumped into the presidential primary last month, has decried Amazon's treatment of its workers. Other Democratic candidates, including Cory Booker, the New Jersey senator, have faced criticism for having closer ties to Silicon Valley. 
Warren is attempting to stake a claim on the issue by being first with a detailed plan. 
“It certainly puts pressure on a host of candidates to address the issue,"" said Mark Longabaugh, a Democratic consultant who worked on Sanders' presidential campaign in 2016.",Newspapers,2019,"person, policy",['anti-trust']
2347458922,"Trump to sign revised trade deal with Mexico, Canada",1/29/2020,dpa Deutsche Presse-Agentur GmbH,"Washington (dpa) - A revised trade pact between the United States, Mexico and Canada is to be signed into law by US President Donald Trump at a White House ceremony on Wednesday, clearing a major hurdle. The United States–Mexico-Canada Agreement (USMCA) updates and replaces the 25-year-old North American Free Trade Agreement (NAFTA), including fresh rules on digital commerce and technology which was not around at the time the original deal was inked. There are also stricter labour rules in the new deal, which could move jobs from Mexico to the two countries in the north, along with tougher country of origin provisions.NAFTA was long controversial, amid accusations by labour unions and some economic populists that it killed certain well-paying jobs in the US, even as it boosted overall economic output and created new employment opportunities. Canada has yet to ratify the deal, but legislation was moved forward this week in Ottawa. Mexico has already finished on its side.The USMCA was signed more than a year ago by the leaders of the three countries, having been primarily championed by Trump who campaigned against NAFTA in 2016. But passage was delayed in the US Congress until recent weeks.",Newspapers,2020,"policy, ideology",['trade protectionism']
2033731655,Democrats optimistic this is the year to defeat Congressman Turner,5/3/2018,Tribune Content Agency LLC,"""I'm not a scholar, I'm not a lawyer, I'm just a working guy who wants to go out there and do what's right, and there are a plethora of issues that we can address.""
Among them: ""Securing"" Social Security, making college more affordable, addressing student debt, refinancing student loans, making voting easier, and rejecting President Trump's tariffs. Gasper said she's concerned, too, about Trump's steel tariffs backfiring if the Chinese attempt to retaliate against Ohio soybean farmers. ""I give the Chinese credit, they know their response is a good way to get back at Trump supporters,"" Gasper said. ""I feel like they're playing three-dimensional chess and he's playing checkers.""
Milisits says his embrace of Bernie Sanders-style economic populism is a message that resonates with many Democrats in the district, and he's concerned that Gasper's messaging ""isn't landing with people.""
""Even if I don't win the primary, I expect to get a portion of the vote to say this message is resonating,"" Milisits said. ""It's economic populism, and that's something that's resonating on both sides of the aisle.""
""I hope whoever comes out of this primary, that's their message moving forward,"" he said. Gasper's focus: Beat Turner
Should Gasper win on May 8, it seems her general election message is far more likely to be about drawing personal contrasts between Turner, a moderate Republican compared to the rest of Ohio's delegation, and Gasper, a former Republican. In the end, Milisits appears ready to embrace that message, too, if it means electing someone other than Turner.",Newspapers,2018,"person, policy, ideology","['protecting Social Security', 'affordable college', 'student debt relief', 'student loan refinancing']"
3108564411,Harris leads Democrats toward a muscular progressivism,8/23/2024,Philadelphia Tribune,"And her presentation of it, along with options of what we could do about it, was compelling.' Harris has since met with Zelenskyy five more times.""
Toughness against threats to Americans' security certainly does not detract from the Democratic ticket's embrace of center-left policies to reduce income inequality (e.g., raise taxes on corporations, lower them for service workers), help working-class families (e.g., subsidized child care, restore the child tax credit) and advance social justice (e.g., protect reproductive, voting and gay rights). Democratic policies are broadly popular. ""What a monster,"" Walz wisecracked, touting his free school meals program. ""Kids are eating and having full bellies so they can go learn, and women are making their own health care decisions.""
Harris has embraced economic populism and a strong defense of personal freedom. (""Mind your own damn business"" might be the most effective retort to the right-wing cultural wars yet.) The old complaints about ""big government"" do not hold water, especially when Republicans seek to intrude upon our most intimate decisions. The Democratic campaign understands that not even Republicans really want to shrink government. (Trump failed to repeal the Affordable Care Act or shrink domestic spending.) The administration's infrastructure plan, chips investment and prescription-drug cost controls are widely embraced beyond the progressive base.",Newspapers,2024,"person, policy, ideology","['raise taxes on corporations', 'tax cuts for service workers', 'subsidized child care', 'child tax credit', 'free school meals', 'infrastructure spending']"
2829484267,Wounded Democrats hope A Better Deal will deliver a better result in 2018,11/6/2017,Guardian News & Media Limited,"She was also a pragmatist swallowed by a populist tide with a muddled message that competed for headlines against controversies inspired by Trump and those of her own making. Clearly, Democrats learned, an anti-Trump message was insufficient. The party failed to convince voters that they had a coherent policy platform of their own to deliver.And yet Clinton decisively won the popular vote after committing to the “most progressive platform” in party history.The outcome has led to divergent conclusions on what this means for the future of the party.Progressives emerged from the ashes of 2016 more powerful than they have been in decades. The ascendent left expects the party to adopt a policy agenda that is uncompromisingly progressive and economically populist – Medicare for all and a federal $15 minimum wage.“The best way to avoid a civil war is to fight with purpose and unity for the fundamental, progressive values that the party stands for,” said Ben Wikler, the Washington director of MoveOn.org.Progressive organizations played a crucial role in helping to defeat the Republican healthcare repeal effort. The next major tests for congressional Democrats, Wikler said, are whether they can pass legislation for Dreamers – young people brought to the country illegally as children – a path to citizenship and whether they can remain united against the Republican tax cut proposal.“As the healthcare fight demonstrated,” Wikler said, “following the energy in the streets is the surest path to victory for Democrats.”Meanwhile, several Democrats are running for re-election in conservative states, treading lightly around fractious cultural fault lines. These candidates want the party to hone a jobs-focused economic message that resonates with the working-class Americans who abandoned Democrats for Trump en masse.The debate, however, does not fall neatly along the left-center divide. A class of young Democrats are rising quickly to fill the party’s leadership vacuum.“Leadership wants to stick with the status quo.",Web Resources,2017,"person, policy, group, ideology","['Medicare for all', 'federal $15 minimum wage']"
